IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass,ParticipationClass
7136,0,0,460500,AL,,M,0,0,1,0,0,0,Moderate,None
5457,550,2,460000,FR,1,M,0,0,0,0,0,0,Moderate,None
4443,1960,27,460000,AL,1,F,74,68,1,0,0,0,Moderate,None
57,6130,22,459500,AL,1,M,71,78,1,0,0,0,Moderate,None
5877,300,5,459500,FP,2,M,0,0,0,0,0,0,Moderate,None
6604,25,1,458100,FR,1,M,0,0,0,0,0,0,Moderate,None
3327,11000,30,458000,AL,4,M,59,71,1,0,0,0,Moderate,None
4038,3220,19,457903,AL,1,M,0,0,1,0,0,0,Moderate,None
5309,700,4,457700,FR,1,F,100,33,0,0,0,0,Moderate,None
5588,490,7,457619,AL,1,F,0,0,1,0,0,0,Moderate,None
2767,11920.8,4,457600,FR,0,M,0,0,0,0,0,0,Moderate,None
1154,107449,34,457500,AL,1,M,51,68,1,0,0,0,Moderate,None
1797,10500,21,457500,FD,0,M,0,50,0,0,0,0,Moderate,None
5467,550,6,457500,AL,1,F,60,100,1,0,0,0,Moderate,None
6426,60,3,457000,AL,1,M,0,0,1,0,0,0,Moderate,None
179,17455.39,19,456700,AL,1,F,54,75,1,0,0,0,Moderate,None
1481,64750,39,456510,AL,2,M,54,76,1,0,0,0,Moderate,None
1838,7420,15,456422,AL,1,M,0,0,1,0,0,0,Moderate,None
1579,8481,17,455000,AL,0,F,100,100,1,0,0,0,Moderate,None
5539,500,1,454215,FP,4,M,0,0,0,0,0,0,Moderate,None
5254,740,6,454200,AL,1,M,0,18,1,0,0,0,Moderate,None
1133,171485,32,453800,AL,6,M,84,81,1,0,0,0,Moderate,None
6480,50,1,453800,FR,0,M,100,100,0,0,0,0,Moderate,None
2170,43886.73,36,453500,RF,3,M,70,89,0,0,0,0,Moderate,None
1814,11100,4,453000,AL,0,M,100,9,1,0,0,0,Moderate,None
7230,0,0,453000,AL,2,M,0,0,1,0,0,0,Moderate,None
3737,4957.5,21,453000,AL,2,M,100,13,1,0,0,0,Moderate,None
5129,900,5,452500,AL,0,M,0,0,1,0,0,0,Moderate,None
5143,875,13,452083,AL,1,F,100,31,1,0,0,0,Moderate,None
5413,595,19,452000,AL,0,M,0,0,1,0,0,0,Moderate,None
4117,2965,20,450627,AL,1,M,47,78,1,0,0,0,Moderate,None
4604,1617,24,450244,AL,1,M,55,100,1,0,0,0,Moderate,None
5310,699.15,6,450000,FR,1,M,0,100,0,0,0,0,Moderate,None
3105,10281,29,450000,AL,1,M,0,100,1,0,0,0,Moderate,None
4842,1212,15,448500,AL,1,M,0,0,1,0,0,0,Moderate,None
4642,1558.41,10,447400,AL,1,M,50,62,1,0,0,0,Moderate,None
6535,40,2,446500,FP,2,M,0,0,0,0,0,0,Moderate,None
6183,135,3,446000,AL,1,M,0,100,1,0,0,0,Moderate,None
3507,7150,21,445500,AL,1,M,69,78,1,0,0,0,Moderate,None
5203,800,7,445150,AL,1,M,0,100,1,0,0,0,Moderate,None
2486,20779.37,13,445000,AL,2,M,57,78,1,0,0,0,Moderate,None
3494,7350,21,444000,AL,1,M,0,0,1,0,0,0,Moderate,None
852,2218.45,5,443830,FR,0,M,65,92,0,0,0,0,Moderate,None
4081,3077.5,25,443000,AL,1,M,62,42,1,0,0,0,Moderate,None
6285,100,1,441500,FR,1,M,0,0,0,0,0,0,Moderate,None
2124,3970,16,441500,AL,8,M,0,68,1,0,0,0,Moderate,None
7226,0,0,440800,FR,,M,0,0,0,0,0,0,Moderate,None
6648,10,1,440663,AL,1,M,0,0,1,0,0,0,Moderate,None
6238,107.5,6,439000,AL,2,M,0,0,1,0,0,0,Moderate,None
1860,5165,28,438000,AL,1,M,50,70,1,0,0,0,Moderate,None
5455,550,1,438000,AL,0,M,0,0,1,0,0,0,Moderate,None
2077,27485,33,437035,AL,2,M,59,71,1,0,0,0,Moderate,None
403,69385,30,436500,AL,5,M,100,81,1,0,0,0,Moderate,None
3082,24426.05,31,435015,AL,3,M,53,78,1,0,0,0,Moderate,None
4996,1017.5,24,435000,AL,2,M,0,45,1,0,0,0,Moderate,None
5599,480,8,434500,FR,2,M,0,0,0,0,0,0,Moderate,None
4840,1220,11,433200,AL,5,M,100,100,1,0,0,0,Moderate,None
4049,3191,39,432490,AL,1,F,54,69,1,0,0,0,Moderate,None
2893,42604,25,431790,AL,4,F,0,44,1,0,0,0,Moderate,None
7087,0,0,431500,PA,4,M,0,0,0,0,0,0,Moderate,None
479,270920,33,431000,AL,4,M,90,92,1,0,0,0,Moderate,None
4974,1050,4,430900,FR,1,F,0,45,0,0,0,0,Moderate,None
